ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE,ORDERE_YEAR,ORDER_MONTH,ORDER_DAY,ORDER_MONTH_NAME
10168,27,100.0,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,Burlingame,USA,Medium,2003,10,28,October
10180,42,100.0,4695.6,2003-11-11,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,Lille,France,Medium,2003,11,11,November
10188,38,96.34,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,Bergen,Norway,Medium,2003,11,18,November
10201,24,100.0,3025.92,2003-12-01,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,San Francisco,USA,Medium,2003,12,1,December
10210,23,100.0,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,Osaka,Japan,Medium,2004,1,12,January
10223,47,100.0,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,Medium,2004,2,20,February
10236,22,100.0,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,Philadelphia,USA,Small,2004,4,3,April
10251,44,100.0,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,Newark,USA,Medium,2004,5,18,May
10263,40,100.0,4472.0,2004-06-28,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,Bridgewater,USA,Medium,2004,6,28,June
10275,22,100.0,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,Nantes,France,Small,2004,7,23,July
10285,47,100.0,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,Cambridge,USA,Medium,2004,8,27,August
10298,39,96.34,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,Nantes,France,Medium,2004,9,27,September
10308,34,100.0,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,White Plains,USA,Medium,2004,10,15,October
10318,45,100.0,5566.5,2004-11-02,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,Allentown,USA,Medium,2004,11,2,November
10329,20,100.0,3176.0,2004-11-15,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,USA,Medium,2004,11,15,November
10339,40,68.92,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small,2004,11,23,November
10361,26,51.15,1329.9,2004-12-17,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,Chatswood,Australia,Small,2004,12,17,December
10374,39,100.0,5288.01,2005-02-02,Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",South Brisbane,Australia,Medium,2005,2,2,February
10388,50,44.51,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,New Bedford,USA,Small,2005,3,3,March
10402,45,100.0,5833.8,2005-04-07,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,Paris,France,Medium,2005,4,7,April
10417,45,100.0,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,Madrid,Spain,Medium,2005,5,13,May
10107,27,100.0,6065.55,2003-02-24,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,USA,Medium,2003,2,24,February
10120,46,100.0,9264.86,2003-04-29,Shipped,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,Large,2003,4,29,April
10134,31,100.0,7023.98,2003-07-01,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,Paris,France,Large,2003,7,1,July
10145,33,100.0,5176.38,2003-08-25,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,Pasadena,USA,Medium,2003,8,25,August
10159,22,100.0,4132.7,2003-10-10,Shipped,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,San Francisco,USA,Medium,2003,10,10,October
10168,20,100.0,4183.0,2003-10-28,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,USA,Medium,2003,10,28,October
10180,41,100.0,8892.9,2003-11-11,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,Lille,France,Large,2003,11,11,November
10188,45,100.0,8714.7,2003-11-18,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,Bergen,Norway,Large,2003,11,18,November
10201,49,100.0,8065.89,2003-12-01,Shipped,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,San Francisco,USA,Large,2003,12,1,December
10210,34,100.0,6123.4,2004-01-12,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,Osaka,Japan,Medium,2004,1,12,January
10223,49,100.0,9774.03,2004-02-20,Shipped,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,Large,2004,2,20,February
10237,39,100.0,7023.9,2004-04-05,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,NYC,USA,Large,2004,4,5,April
10251,43,100.0,7078.23,2004-05-18,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,Newark,USA,Large,2004,5,18,May
10263,41,100.0,8336.94,2004-06-28,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,Bridgewater,USA,Large,2004,6,28,June
10275,36,100.0,6901.92,2004-07-23,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,Nantes,France,Medium,2004,7,23,July
10285,27,100.0,5438.07,2004-08-27,Shipped,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,Cambridge,USA,Medium,2004,8,27,August
10299,29,100.0,6683.34,2004-09-30,Shipped,3,9,2004,Motorcycles,193,S10_4698,"Toys of Finland, Co.",Helsinki,Finland,Medium,2004,9,30,September
10308,20,100.0,4570.4,2004-10-15,Shipped,4,10,2004,Motorcycles,193,S10_4698,Mini Classics,White Plains,USA,Medium,2004,10,15,October
10318,37,100.0,7667.14,2004-11-02,Shipped,4,11,2004,Motorcycles,193,S10_4698,Diecast Classics Inc.,Allentown,USA,Large,2004,11,2,November
10329,26,100.0,5868.2,2004-11-15,Shipped,4,11,2004,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,USA,Medium,2004,11,15,November
10339,39,76.67,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small,2004,11,23,November
10362,22,100.0,3664.1,2005-01-05,Shipped,1,1,2005,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,USA,Medium,2005,1,5,January
10374,22,100.0,3834.38,2005-02-02,Shipped,1,2,2005,Motorcycles,193,S10_4698,"Australian Gift Network, Co",South Brisbane,Australia,Medium,2005,2,2,February
10388,21,86.77,1822.17,2005-03-03,Shipped,1,3,2005,Motorcycles,193,S10_4698,FunGiftIdeas.com,New Bedford,USA,Small,2005,3,3,March
10403,66,100.0,11886.6,2005-04-08,Shipped,2,4,2005,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",Liverpool,UK,Large,2005,4,8,April
10417,56,100.0,9218.16,2005-05-13,Disputed,2,5,2005,Motorcycles,193,S10_4698,Euro Shopping Channel,Madrid,Spain,Large,2005,5,13,May
10105,50,100.0,7208.0,2003-02-11,Shipped,1,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,Kobenhavn,Denmark,Large,2003,2,11,February
10119,46,100.0,5004.8,2003-04-28,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,Salzburg,Austria,Medium,2003,4,28,April
10129,33,100.0,4398.24,2003-06-12,Shipped,2,6,2003,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",London,UK,Medium,2003,6,12,June
10143,49,100.0,5597.76,2003-08-10,Shipped,3,8,2003,Classic Cars,136,S10_4757,Mini Creations Ltd.,New Bedford,USA,Medium,2003,8,10,August
10155,32,100.0,4526.08,2003-10-06,Shipped,4,10,2003,Classic Cars,136,S10_4757,"Toys of Finland, Co.",Helsinki,Finland,Medium,2003,10,6,October
10167,44,100.0,5924.16,2003-10-23,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,Boras,Sweden,Medium,2003,10,23,October
10178,24,100.0,3492.48,2003-11-08,Shipped,4,11,2003,Classic Cars,136,S10_4757,Alpha Cognac,Toulouse,France,Medium,2003,11,8,November
10186,26,100.0,3854.24,2003-11-14,Shipped,4,11,2003,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",London,UK,Medium,2003,11,14,November
10197,45,100.0,5324.4,2003-11-26,Shipped,4,11,2003,Classic Cars,136,S10_4757,Enaco Distributors,Barcelona,Spain,Medium,2003,11,26,November
10209,39,100.0,5197.92,2004-01-09,Shipped,1,1,2004,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,Medium,2004,1,9,January
10222,49,100.0,5997.6,2004-02-19,Shipped,1,2,2004,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,San Diego,USA,Medium,2004,2,19,February
10248,20,100.0,2910.4,2004-05-07,Cancelled,2,5,2004,Classic Cars,136,S10_4757,Land of Toys Inc.,NYC,USA,Small,2004,5,7,May
10261,27,100.0,3378.24,2004-06-17,Shipped,2,6,2004,Classic Cars,136,S10_4757,Quebec Home Shopping Network,Montreal,Canada,Medium,2004,6,17,June
10273,30,100.0,3508.8,2004-07-21,Shipped,3,7,2004,Classic Cars,136,S10_4757,Petit Auto,Bruxelles,Belgium,Medium,2004,7,21,July
10283,25,100.0,2992.0,2004-08-20,Shipped,3,8,2004,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,Small,2004,8,20,August
10295,24,100.0,3427.2,2004-09-10,Shipped,3,9,2004,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,USA,Medium,2004,9,10,September
10307,22,100.0,2692.8,2004-10-14,Shipped,4,10,2004,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,USA,Small,2004,10,14,October
10316,33,100.0,4128.96,2004-11-01,Shipped,4,11,2004,Classic Cars,136,S10_4757,giftsbymail.co.uk,Cowes,UK,Medium,2004,11,1,November
10325,47,64.93,3051.71,2004-11-05,Shipped,4,11,2004,Classic Cars,136,S10_4757,Baane Mini Imports,Stavern,Norway,Medium,2004,11,5,November
10337,25,48.05,1201.25,2004-11-21,Shipped,4,11,2004,Classic Cars,136,S10_4757,Classic Legends Inc.,NYC,USA,Small,2004,11,21,November
10350,26,75.47,1962.22,2004-12-02,Shipped,4,12,2004,Classic Cars,136,S10_4757,Euro Shopping Channel,Madrid,Spain,Small,2004,12,2,December
10359,48,54.68,2624.64,2004-12-15,Shipped,4,12,2004,Classic Cars,136,S10_4757,Reims Collectables,Reims,France,Small,2004,12,15,December
10373,39,100.0,4046.25,2005-01-31,Shipped,1,1,2005,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,Finland,Medium,2005,1,31,January
10384,34,100.0,4846.7,2005-02-23,Shipped,1,2,2005,Classic Cars,136,S10_4757,Corporate Gift Ideas Co.,San Francisco,USA,Medium,2005,2,23,February
10395,32,100.0,3370.56,2005-03-17,Shipped,1,3,2005,Classic Cars,136,S10_4757,Lyon Souveniers,Paris,France,Medium,2005,3,17,March
10400,64,100.0,9661.44,2005-04-01,Shipped,2,4,2005,Classic Cars,136,S10_4757,The Sharp Gifts Warehouse,San Jose,USA,Large,2005,4,1,April
10414,19,100.0,2764.88,2005-05-06,On Hold,2,5,2005,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,USA,Small,2005,5,6,May
10103,42,100.0,5398.26,2003-01-29,Shipped,1,1,2003,Classic Cars,147,S10_4962,Baane Mini Imports,Stavern,Norway,Medium,2003,1,29,January
10114,31,100.0,4305.28,2003-04-01,Shipped,2,4,2003,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",Paris,France,Medium,2003,4,1,April
10126,22,100.0,3347.74,2003-05-28,Shipped,2,5,2003,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,Spain,Medium,2003,5,28,May
10140,26,100.0,3188.12,2003-07-24,Shipped,3,7,2003,Classic Cars,147,S10_4962,Technics Stores Inc.,Burlingame,USA,Medium,2003,7,24,July
10150,20,100.0,3191.2,2003-09-19,Shipped,3,9,2003,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium,2003,9,19,September
10164,21,100.0,3536.82,2003-10-21,Resolved,4,10,2003,Classic Cars,147,S10_4962,Mini Auto Werke,Graz,Austria,Medium,2003,10,21,October
10175,33,100.0,5362.83,2003-11-06,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",London,UK,Medium,2003,11,6,November
10183,28,100.0,3433.36,2003-11-13,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium,2003,11,13,November
10194,26,100.0,4263.74,2003-11-25,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.",Lyon,France,Medium,2003,11,25,November
10207,31,100.0,4076.19,2003-12-09,Shipped,4,12,2003,Classic Cars,147,S10_4962,Diecast Collectables,Boston,USA,Medium,2003,12,9,December
10217,48,100.0,7020.48,2004-02-04,Shipped,1,2,2004,Classic Cars,147,S10_4962,Handji Gifts& Co,Singapore,Singapore,Large,2004,2,4,February
10229,50,100.0,6426.5,2004-03-11,Shipped,1,3,2004,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,2004,3,11,March
10245,28,100.0,4591.72,2004-05-04,Shipped,2,5,2004,Classic Cars,147,S10_4962,Super Scale Inc.,New Haven,USA,Medium,2004,5,4,May
10259,26,100.0,4033.38,2004-06-15,Shipped,2,6,2004,Classic Cars,147,S10_4962,Handji Gifts& Co,Singapore,Singapore,Medium,2004,6,15,June
10270,32,100.0,4302.08,2004-07-19,Shipped,3,7,2004,Classic Cars,147,S10_4962,Souveniers And Things Co.,Chatswood,Australia,Medium,2004,7,19,July
10281,44,100.0,7020.64,2004-08-19,Shipped,3,8,2004,Classic Cars,147,S10_4962,Diecast Classics Inc.,Allentown,USA,Large,2004,8,19,August
10291,30,100.0,3855.9,2004-09-08,Shipped,3,9,2004,Classic Cars,147,S10_4962,Scandinavian Gift Ideas,Boras,Sweden,Medium,2004,9,8,September
10305,38,100.0,6680.78,2004-10-13,Shipped,4,10,2004,Classic Cars,147,S10_4962,Marta's Replicas Co.,Cambridge,USA,Medium,2004,10,13,October
10313,40,100.0,6678.0,2004-10-22,Shipped,4,10,2004,Classic Cars,147,S10_4962,Canadian Gift Exchange Network,Vancouver,Canada,Medium,2004,10,22,October
10322,46,61.99,2851.54,2004-11-04,Shipped,4,11,2004,Classic Cars,147,S10_4962,Online Diecast Creations Co.,Nashua,USA,Small,2004,11,4,November
10334,26,100.0,3188.12,2004-11-19,On Hold,4,11,2004,Classic Cars,147,S10_4962,"Volvo Model Replicas, Co",Lule,Sweden,Medium,2004,11,19,November
10347,27,100.0,4428.0,2004-11-29,Shipped,4,11,2004,Classic Cars,147,S10_4962,"Australian Collectors, Co.",Melbourne,Australia,Medium,2004,11,29,November
10357,43,100.0,5780.92,2004-12-10,Shipped,4,12,2004,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,2004,12,10,December
10370,35,65.63,2297.05,2005-01-20,Shipped,1,1,2005,Classic Cars,147,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,Small,2005,1,20,January
10381,37,100.0,6231.54,2005-02-17,Shipped,1,2,2005,Classic Cars,147,S10_4962,Corporate Gift Ideas Co.,San Francisco,USA,Medium,2005,2,17,February
10391,37,46.9,1735.3,2005-03-09,Shipped,1,3,2005,Classic Cars,147,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,Small,2005,3,9,March
10411,27,100.0,4427.73,2005-05-01,Shipped,2,5,2005,Classic Cars,147,S10_4962,Quebec Home Shopping Network,Montreal,Canada,Medium,2005,5,1,May
10425,38,100.0,5894.94,2005-05-31,In Process,2,5,2005,Classic Cars,147,S10_4962,La Rochelle Gifts,Nantes,France,Medium,2005,5,31,May
10108,33,100.0,5265.15,2003-03-03,Shipped,1,3,2003,Classic Cars,194,S12_1099,Cruz & Sons Co.,Makati City,Philippines,Medium,2003,3,3,March
10122,42,100.0,7599.9,2003-05-08,Shipped,2,5,2003,Classic Cars,194,S12_1099,Marseille Mini Autos,Marseille,France,Large,2003,5,8,May
10135,42,100.0,8008.56,2003-07-02,Shipped,3,7,2003,Classic Cars,194,S12_1099,Mini Gifts Distributors Ltd.,San Rafael,USA,Large,2003,7,2,July
10147,48,100.0,9245.76,2003-09-05,Shipped,3,9,2003,Classic Cars,194,S12_1099,Collectables For Less Inc.,Brickhaven,USA,Large,2003,9,5,September
10159,41,100.0,8296.35,2003-10-10,Shipped,4,10,2003,Classic Cars,194,S12_1099,Corporate Gift Ideas Co.,San Francisco,USA,Large,2003,10,10,October
10169,30,100.0,5019.9,2003-11-04,Shipped,4,11,2003,Classic Cars,194,S12_1099,"Anna's Decorations, Ltd",North Sydney,Australia,Medium,2003,11,4,November
